Nick	Overview	Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games	Population	Nationality_Count
sterling	"Euan ""sterling"" Moore (born June 27, 1998) is a New Zealand professional Counter-Strike: Global Offensive player."	Euan Moore		New Zealand	June 27, 1998 (age 25)	Active	2016 – Present			AWPer			st3rl1ng	$33,670	Global Offensive		6
aidKiT	"Jane ""aidKiT"" Apostoloski (born June 13, 2001) is a Macedonian professional Counter-Strike: Global Offensive player."	Јане Апостолоски	Jane Apostoloski	North Macedonia	June 13, 2001 (age 22)	Active	2019 – Present			AWPer				$31,407	Global Offensive		9
CacaNito	"Aleksandar ""CacaNito"" Kjulukoski (born November 9, 2000) is a Macedonian professional Counter-Strike: Global Offensive player for Apeks."	Aleksandar Kjulukoski		North Macedonia	November  9, 2000 (age 22)	Active	2019 – Present			Rifler	Apeks			$50,313	Global Offensive		9
dan1	"Daniel ""dan1"" Gligorov (born October 18, 1999) is a Macedonian professional Counter-Strike: Global Offensive player."	Daniel Gligorov		North Macedonia	October 18, 1999 (age 23)	Active	2019 – Present			Rifler				$28,381	Global Offensive		9
kyxsan	"Damjan ""kyxsan"" Stoilkovski (born May 26, 2000) is a Macedonian professional Counter-Strike: Global Offensive player for Apeks."	Дамјан Стоилковски	Damjan Stoilkovski	North Macedonia	May 26, 2000 (age 23)	Active	2018 – Present				Apeks		Kyxsan	$68,085	Global Offensive		9
Necrogenes1s	"Andrej ""Necrogenes1s"" Mancheski (born October 18, 1998) is a Macedonian professional Counter-Strike: Global Offensive player."	Андреј Манчески	Andrej Mancheski	North Macedonia	October 18, 1998 (age 24)	Active	2019 – Present			Rifler				$11,020	Global Offensive		9
NENO	"Anel ""NENO"" Chekovikj (born October 3, 1993) is a Macedonian professional Counter-Strike: Global Offensive and former semi-professional Counter-Strike player."	Анел Чековиќ	Anel Chekovikj	North Macedonia	October  3, 1993 (age 30)	Active	2010 – Present							$26,613	Global Offensive		9
stYleEeZ	"Pavle ""stYleEeZ"" Stojanovski (born April 9, 2000) is a Macedonian professional Counter-Strike: Global Offensive player."	Pavle Stojanovski		North Macedonia	April  9, 2000 (age 23)	Active	2018 – Present			Rifler				$29,049	Global Offensive		9
xicoz	"Zoran ""xicoz"" Markovski (born April 29, 2003) is a Macedonian professional Counter-Strike: Global Offensive player."	Zoran Markovski		North Macedonia	April 29, 2003 (age 20)	Active	2021 – Present			Rifler	IKLA			$9,591	Global Offensive		9
XANTARES	"İsmailсan ""XANTARES"" Dörtkardeş (born August 7, 1995) is a Turkish-Macedonian professional Counter-Strike: Global Offensive player for Eternal Fire."	İsmailсan Dörtkardeş		North Macedonia	August  7, 1995 (age 28)	Active	2012 – Present			Rifler	Eternal Fire			$426,959	Global Offensive		9
mithR	"Torbjørn ""mithR"" Nyborg (born November 16, 1989) is a Danish-Norwegian professional Counter-Strike: Global Offensive coach and retired player. He previously most notably coached MOUZ, Renegades, North, and ALTERNATE aTTaX."	Torbjørn Nyborg		Norway	November 16, 1989 (age 33)	Active	2013 – 2016, 2016 – 2017, 2019	2016 2017 – 2018, 2019 – Present		Coach	Apeks			$243	Global Offensive	5,488,984	35
akEz	"Kristian ""akEz"" Kornbakk (born June 4, 1992) is a Norwegian professional Counter-Strike: Global Offensive player."	Kristian Kornbakk		Norway	June  4, 1992 (age 31)	Active	2015 – Present				Bitfix Gaming			$18,661	Global Offensive	5,488,984	35
aNdz	"Anders ""aNdz"" Kjær (born May 31, 1992) is a former Norwegian professional Counter-Strike: Global Offensive and Counter-Strike: Source player."	Anders Kjær		Norway	May 31, 1992 (age 31)	Active	2010 – 2019			In-game leader	Apeks			$11,703	Global Offensive	5,488,984	35
aurora	"Aurora ""aurora"" Lyngdal (born April 26, 1996) is a Norwegian professional Counter-Strike: Global Offensive player and former Counter-Strike: Source and Counter-Strike player."	Aurora Lyngdal		Norway	April 26, 1996 (age 27)	Active	2005 – Present			entry fragger	Astralis Female			$4,259	Global Offensive	5,488,984	35
becker	"Henrik ""becker"" Becker is an inactive Norwegian professional Counter-Strike: Global Offensive player."	Henrik Becker		Norway		Inactive	2015 – 2018							$4,682	Global Offensive	5,488,984	35
bfr	"Bjørnar ""bfr"" Fauske Røn (born December 3, 2001) is a Norwegian professional Counter-Strike: Global Offensive player."	Bjørnar Fauske Røn		Norway	December  3, 2001 (age 21)	Active	2018 – 2021, 2022 – Present			Rifler	Wizard esports		BFR	$4,554	Global Offensive	5,488,984	35
cromen	"Jørgen ""cromen"" Robertsen (born May 31, 1995) is a Norwegian professional Counter-Strike: Global Offensive player."	Jørgen Robertsen		Norway	May 31, 1995 (age 28)	Active	2013 – 2020, 2022 – Present			Rifler				$61,300	Global Offensive	5,488,984	35
enix	"Mikal ""enix"" Aakvik Øiestad is a Norwegian Counter-Strike: Global Offensive player."	Mikal Aakvik Øiestad		Norway		Active	2015 – 2018, 2020 – Present							$3,030	Global Offensive	5,488,984	35
fletch	"Snorre ""fletch"" Granerud (born January 10, 1996) is a Norwegian professional Counter-Strike: Global Offensive coach for 777 Esports, and a former professional player."	Snorre Granerud		Norway	January 10, 1996 (age 27)	Active	2015 – 2021	2021 – Present		Coach				$4,319	Global Offensive	5,488,984	35
Grus	"Sander Nordeide ""Grus"" Iversen (born October 10, 1997) is a Norwegian professional Counter-Strike: Global Offensive player."	Sander Nordeide Iversen		Norway	October 10, 1997 (age 26)	Active	2018 – Present			Rifler			Grusarn	$21,809	Global Offensive	5,488,984	35
H4RR3	"Haris ""H4RR3"" Hadžić (born March 22, 1997) is a Norwegian professional Counter-Strike: Global Offensive player of Bosnian descent."	Haris Hadžić		Norway	March 22, 1997 (age 26)	Active	2017 – Present			entry fragger	Metizport X		harre, harredaking	$25,974	Global Offensive	5,488,984	35
hallzerk	"Håkon ""hallzerk"" Fjærli (born July 14, 2000) is a Norwegian professional Counter-Strike: Global Offensive player. He is the younger brother of former professional Counter-Strike player Martin ""hellzERk"" Solbakken."	Håkon Fjærli		Norway	July 14, 2000 (age 23)	Active	2016 – Present			AWPer	Complexity Gaming		hzk	$75,939	Global Offensive	5,488,984	35
hEllberg	"Christoffer ""hEllberg"" Andersen (born November 11, 1998) is a Norwegian professional Counter-Strike: Global Offensive player."	Christoffer Andersen		Norway	November 11, 1998 (age 24)	Active	2016 – Present			Rifler			organner, hEscobar, Exiqe	$4,570	Global Offensive	5,488,984	35
Jimbo	"Jesper ""Jimbo"" Kamsrud (born January 6, 1998) is a Norwegian professional Counter-Strike: Global Offensive player."	Jesper Kamsrud		Norway	January  6, 1998 (age 25)	Active	2017 – Present			In-game leader				$7,423	Global Offensive	5,488,984	35
jkaem	"Joakim ""jkaem"" Myrbostad (born February 27, 1994) is a Norwegian professional Counter-Strike: Global Offensive player for Apeks. Prior to joining the Renegades-100 Thieves core in 2018, he played in numerous Europe-based lineups such as Copenhagen Wolves, G2 Esports, FaZe Clan and Team Dignitas."	Joakim Myrbostad		Norway	February 27, 1994 (age 29)	Active	2013 – Present			entry fragger	Apeks			$230,688	Global Offensive	5,488,984	35
kalle	"Karl-William ""kalle"" Haraldsen (born October 15, 1991) is a Norwegian professional Counter-Strike: Global Offensive and former Counter-Strike player."	Karl-William Haraldsen		Norway	October 15, 1991 (age 31)	Active	2009 – Present							$35,695	Global Offensive	5,488,984	35
KORN	"Kristian ""KORN"" Hokland (born July 15, 1992) is a Norwegian professional Counter-Strike: Global Offensive and Counter-Strike player."	Kristian Hokland		Norway	July 15, 1992 (age 31)	Active	2010 - Present			Rifler				$11,834	Global Offensive	5,488,984	35
LaX	"Eskil ""LaX"" Bjørnsen (born July 26, 2000) is a Norwegian professional Counter-Strike: Global Offensive player."	Eskil Bjørnsen		Norway	July 26, 2000 (age 23)	Active	2018 – Present			Rifler	Metizport X			$6,146	Global Offensive	5,488,984	35
Marcelious	"Ole Kristian ""Marcelious"" Langan is a Norwegian professional Counter-Strike: Global Offensive player."	Ole Kristian Langan		Norway		Active	2017 – Present			AWPer				$22,355	Global Offensive	5,488,984	35
mikki	"Mikael ""mikki"" Gaup (born December 19, 1998) is a Norwegian professional Counter-Strike: Global Offensive player."	Mikael Gaup		Norway	December 19, 1998 (age 24)	Active	2017 – Present			AWPer				$12,054	Global Offensive	5,488,984	35
NiTo	"Tony ""NiTo"" Nilsen (born March 24, 1994) is a Norwegian professional Counter-Strike: Global Offensive player."	Tony Nilsen		Norway	March 24, 1994 (age 29)	Active	2015 – Present							$1,304	Global Offensive	5,488,984	35
Philip	"Philip ""Philip"" Løseth (born July 15, 1996) is a Norwegian professional Counter-Strike: Global Offensive coach and former player."	Philip Løseth		Norway	July 15, 1996 (age 27)	Active	2015 – 2019	2021 – Present		Coach	Bitfix Gaming			$1,344	Global Offensive	5,488,984	35
Polly	"Pål ""Polly"" Kammen (born March 7, 1991) is a Norwegian professional Counter-Strike: Global Offensive coach and former professional Counter-Strike: Global Offensive and Counter-Strike player."	Pål Kammen		Norway	March  7, 1991 (age 32)	Active	2011 – 2019, 2020	2019 – Present		Coach	Preasy Esport			$11,819	Global Offensive	5,488,984	35
Radifaction	"Haakon ""Radifaction"" Tholo is a Norwegian professional Counter-Strike: Global Offensive player."	Haakon Bauer-Nilsen Tholo		Norway		Active	2016 – 2021, 2022 – Present			Rifler			radifactioN	$17,800	Global Offensive	5,488,984	35
RashiiiE	"Raymond ""RashiiiE"" Nielsen is an inactive Norwegian professional Counter-Strike: Global Offensive and Counter-Strike player."	Raymond Nielsen		Norway		Inactive	2009 – 2010, 2015 – 2020,						RashiE, RASHIIIE	$20,012	Global Offensive	5,488,984	35
sense	"Ådne ""sense"" Fredriksen (born September 30, 2003) is a Norwegian professional Counter-Strike: Global Offensive player."	Ådne Fredriksen		Norway	September 30, 2003 (age 20)	Active	2018 – Present			In-game leader	Apeks			$7,561	Global Offensive	5,488,984	35
shyyne	"Tobias ""shyyne"" Sæther (born August 4, 1999) is a Norwegian professional Counter-Strike: Global Offensive player."	Tobias Sæther		Norway	August  4, 1999 (age 24)	Active	2016 – Present			AWPer	ex-Coalesce			$9,358	Global Offensive	5,488,984	35
SLY	"Steffen ""SLY"" Amundsen (born February 18, 2002) is a Norwegian professional Counter-Strike: Global Offensive player."	Steffen Amundsen		Norway	February 18, 2002 (age 21)	Active	2019 – Present			Rifler	Pompa Team		Sly, sly	$10,227	Global Offensive	5,488,984	35
Trax	"Preben ""Trax"" Martinsen (born August 9, 2001) is a Norwegian professional Counter-Strike: Global Offensive player."	Preben Martinsen		Norway	August  9, 2001 (age 22)	Active	2019 – Present			In-game leader				$4,152	Global Offensive	5,488,984	35
truth	"Erik ""truth"" Hansen Dyrnes (born November 25, 1996) is a Norwegian professional Counter-Strike: Global Offensive player."	Erik Hansen Dyrnes		Norway	November 25, 1996 (age 26)	Active	2015 – Present			Rifler				$22,298	Global Offensive	5,488,984	35
vENdetta	"Halvor ""vENdetta"" Gulestøl (born May 1, 1989) is a Norwegian caster, analyst, and a retired professional Counter-Strike: Global Offensive and Counter-Strike: Source player."	Halvor Gulestøl		Norway	May  1, 1989 (age 34)	Active	2007 – 2009, 2013 – 2014, 2016	2020 – 2021, 2022 – Present	2020 2022					$4,354	Global Offensive	5,488,984	35
zame	"Jonathan ""zame"" Nyhagen is a Norwegian professional Counter-Strike: Global Offensive player."	Jonathan Nyhagen		Norway		Active	2018 – Present			Rifler				$2,385	Global Offensive	5,488,984	35
zEVES	"Morten ""zEVES"" Vollan (born April 17, 1991) is a retired Norwegian professional Counter-Strike: Global Offensive coach and player and former professional Counter-Strike player. He is currently working for Metizport as a Sports Director."	Morten Vollan Christensen		Norway	April 17, 1991 (age 32)	Active	2010 – 2017, 2022 – 2023,	2017 – 2018, 2020 – 2023,			Metizport			$7,612	Global Offensive	5,488,984	35
ztk	"Jon Erik ""ztk"" Øygarden (born November 6, 1995) is a Norwegian professional Counter-Strike: Global Offensive player."	Jon Erik Øygarden		Norway	November  6, 1995 (age 27)	Active	2015 – Present			Rifler	Wizard esports			$11,345	Global Offensive	5,488,984	35
zykes	"Daniel ""zykes"" Jensen (born July 27, 2000) is a Norwegian professional Counter-Strike: Global Offensive player."	Daniel Jensen		Norway	July 27, 2000 (age 23)	Active	2017 – Present			lurker	Wizard esports			$7,276	Global Offensive	5,488,984	35
PokemoN	"Saad ""PokemoN"" Ahmed (born April 15, 1998) is a Pakistani professional Counter-Strike: Global Offensive player and coach."		Saad Ahmed	Pakistan	April 15, 1998 (age 25)	Active	2018 – Present	2023 – Present		Coach	Gods Reign		Pokemon	$10,336	Global Offensive	241,499,431	2
traNz	"Anas ""traNz"" Ayub is a Pakistani professional Counter-Strike: Global Offensive player."	Anas Ayub		Pakistan		Inactive	2017 – 2022			Rifler				$3,443	Global Offensive	241,499,431	2
alone	"Aldair ""alone"" Torres (born December 8, 1995) is a Peruvian professional Counter-Strike: Global Offensive coach and former player."	Aldair Torres		Peru	December  8, 1995 (age 27)	Active	2019	2017 – 2019, 2019 – Present		Coach			Malones2m		Global Offensive		9
GuepaRd	"Stephane ""GuepaRd"" Cazottes (born May 22, 1989) is a Peruvian professional Counter-Strike: Global Offensive assistant coach and former player."	Stephane Cazottes		Peru	May 22, 1989 (age 34)	Active	2003 – 2022, 2023 – Present	2022 – 2023		Rifler			gpd	$5,990	Global Offensive		9
Joman	"Jomer ""Joman"" Montoya (born July 14, 2000) is a Peruvian professional Counter-Strike: Global Offensive coach and former player."	Jomer Montoya		Peru	July 14, 2000 (age 23)	Active		2018 – 2021, 2022 – Present		Coach			jomaN		Global Offensive		9
Knight	"Jesus ""Knight"" Rosales (born October 31, 1998) is a  Peruvian professional Counter-Strike: Global Offensive player."	Jesus Rosales Ruiz		Peru	October 31, 1998 (age 24)	Active	2019 – Present			entry fragger				$3,122	Global Offensive		9
LKN	"Luis ""LKN"" León (born August 2, 1996) is a  Peruvian professional Counter-Strike: Global Offensive player."	Luis León		Peru	August  2, 1996 (age 27)	Active	2019 – Present			lurker				$1,917	Global Offensive		9
pacmanN	"Renato ""pacmanN"" Morales (formerly known as pacman^v^) (born September 25, 1997) is a Peruvian professional Counter-Strike: Global Offensive player."	Renato Morales		Peru	September 25, 1997 (age 26)	Active	2017 – Present			entry fragger			pacman, pacman^v^	$6,794	Global Offensive		9
Pock	"Gianfranco ""Pock"" Rosas (born April 23, 1989) is a Peruvian professional Counter-Strike: Global Offensive Coach and player and former professional Counter-Strike player."	Gianfranco Rosas		Peru	April 23, 1989 (age 34)	Active	2005 – 2018, 2019 – Present			support	Supremacy Gaming		pockSTROKES, Pockz	$2,375	Global Offensive		9
tor1towOw	"Joel ""tor1towOw"" Rios (born August 30, 1999) is a Peruvian professional Counter-Strike: Global Offensive player."	Joel Rios Manrique		Peru	August 30, 1999 (age 24)	Active	2014 – Present			entry fragger	CatEvil		tor1to	$20,927	Global Offensive		9
zockie	"Antonio ""zockie"" Montañez (born January 25, 1997) is a Peruvian professional Counter-Strike: Global Offensive player."	Antonio Montañez Alegre		Peru	January 25, 1997 (age 26)	Active	2016 – Present			lurker			zock	$3,821	Global Offensive		9
salazar	"Jason ""salazar"" Salazar (born August 27, 2004) is a Danish-Filipino professional Counter-Strike: Global Offensive player."	Jason Salazar		Philippines	August 27, 2004 (age 19)	Active	2020 – Present			AWPer	ECSTATIC		Sa1azaR, Sa!azaR	$15,512	Global Offensive	109,035,343	2
EasTor	"Rajohn ""EasTor"" Gregory (born December 2, 1993) is a Spanish-Filipino professional Counter-Strike: Global Offensive player."	Rajohn Gregory Gumangan Linato		Philippines	December  2, 1993 (age 29)	Active	2015 – Present			AWPer				$30,006	Global Offensive	109,035,343	2
Grashog	"Denis ""Grashog"" Hristov (born June 27, 1999) is a Bulgarian-Polish professional Counter-Strike: Global Offensive coach and former player."	Денис Христов	Denis Hristov	Poland	June 27, 1999 (age 24)	Active	2018 – 2023	2023 – Present		Coach	500			$6,013	Global Offensive	37,691,000	115
P4TriCK	"Patrick Jan ""P4TriCK"" Zaremba (formerly stylized as .P4TriCK) (born July 19, 1996) is a German professional Counter-Strike: Global Offensive player of Polish descent."	Patrick Jan Zaremba		Poland	July 19, 1996 (age 27)	Active	2016 – Present			lurker	The Prodigies		PATriCK, .P4TriCK	$19,480	Global Offensive	37,691,000	115
